operon_name,n_genes,confidence,r_standard,r_operon,delta,eval_seed,n_cells_used
umpG-pcm,2,Weak,0.5477497609139674,0.440619400464466,-0.10713036044950142,42,57627
aas-lplT,2,Weak,0.5449689869462374,0.5687140248720418,0.023745037925804402,42,57627
hslVU,2,Weak,0.7420428521596241,0.6868547380762959,-0.05518811408332813,42,57627
kefFC,2,Weak,0.28405934215807577,0.28070843550037233,-0.003350906657703434,42,57627
ansA-pncA,2,Strong,0.11525481854914582,0.1192970794200401,0.004042260870894279,42,57627
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,12,Weak,0.3731906943296612,0.40693234982098475,0.033741655491323574,42,57627
ygcNOP,2,Weak,0.5383459938162166,0.6832982731468145,0.14495227933059784,42,57627
ppk-ppx,2,Weak,0.6137862206403417,0.592883201938069,-0.020903018702272735,42,57627
ydjXYZ-ynjABCD,4,Weak,0.1251647673860786,0.16240792849004682,0.03724316110396822,42,57627
proQ-prc,2,Weak,0.26333479190326947,0.3045093186248379,0.041174526721568405,42,57627
lysT-valT-lysW,3,Weak,0.46618377007587525,0.34821695787095447,-0.11796681220492078,42,57627
psd-mscM,2,Weak,0.395693099080092,0.3509050142522399,-0.04478808482785207,42,57627
yabPQ,2,Weak,0.1710256688175933,0.15278261158209266,-0.018243057235500626,42,57627
folX-yfcH,2,Weak,0.20959045930387524,0.24211663872914874,0.0325261794252735,42,57627
yhiI-rbbA-yhhJ,3,Weak,0.4780794101538251,0.6562946026878382,0.17821519253401313,42,57627
lgt-thyA,2,Weak,0.5620605853793411,0.48207985544696086,-0.07998072993238026,42,57627
yeeRST-cbeA-cbtA-yeeW,2,Weak,0.2720849669020056,0.31681006443213294,0.04472509753012732,42,57627
zraSR,2,Weak,0.39866481305948304,0.43860454013562705,0.039939727076144016,42,57627
dcm-vsr,2,Weak,0.26500842261330965,0.4680478535948363,0.20303943098152666,42,57627
dosCP,2,Weak,-0.058504308057814404,-0.009141258453022032,0.049363049604792375,42,57627
potABCD,4,Weak,0.4516956148992241,0.5525621169502111,0.10086650205098696,42,57627
yddAB,2,Weak,-0.11444860578598165,-0.058093216138252544,0.056355389647729105,42,57627
sapABCDF,5,Weak,0.4192706274461183,0.43186234966493925,0.012591722218820933,42,57627
ymfED,2,Weak,0.3735628723382278,0.3325581324502936,-0.04100473988793424,42,57627
tdcABCDEFG,4,Weak,0.19955526073394184,0.2549592230704169,0.05540396233647507,42,57627
sufABCDSE,6,Weak,0.13713714709459374,0.17840457563091702,0.041267428536323286,42,57627
glnHPQ,3,Weak,0.6015491488322634,0.6375686886182677,0.03601953978600425,42,57627
kbl-tdh,2,Weak,0.49961401454346455,0.3334988654980812,-0.16611514904538333,42,57627
ybgC-tolQRA,4,Strong,0.5395501167910125,0.4670553082024173,-0.0724948085885952,42,57627
znuCB,2,Weak,0.5211484608659909,0.5770011355857887,0.055852674719797823,42,57627
tehAB,2,Weak,-0.2571536160605,0.009305970800836805,0.2664595868613368,42,57627
tamAB-ytfP,3,Weak,0.271039425145106,0.23636146961793034,-0.03467795552717565,42,57627
metBL,2,Strong,0.3619149833415804,0.41954055318082245,0.05762556983924205,42,57627
yieP-hsrA,2,Weak,0.3175184389574608,0.4067071419653457,0.0891887030078849,42,57627
modEF,2,Weak,-0.15092830781310582,-0.0018046083725363716,0.14912369944056944,42,57627
nagBACD,4,Strong,0.3562204722594425,0.31147786437551983,-0.04474260788392265,42,57627
yecN-cmoAB,3,Weak,0.3796118403560855,0.35558492214229775,-0.024026918213787718,42,57627
chbBCARFG,5,Weak,0.368752661133093,0.3216843191227693,-0.04706834201032373,42,57627
glyQS,2,Weak,0.7091563164627722,0.6891939232805109,-0.01996239318226134,42,57627
yicJI,2,Weak,0.5175474325472299,0.49531755378504133,-0.02222987876218857,42,57627
yobB-exoX,2,Weak,0.2847375137098366,0.38309465176440366,0.09835713805456708,42,57627
dcyD-tcyLN,3,Weak,0.13034644445202162,0.07615471770370556,-0.05419172674831606,42,57627
higBA,2,Weak,0.6875698945508613,0.6249685274977882,-0.06260136705307306,42,57627
lolCDE,3,Weak,0.6107048080656593,0.5831336545237438,-0.027571153541915527,42,57627
hscBA-fdx-iscX,4,Weak,0.5276597498729959,0.5250549532857542,-0.0026047965872416645,42,57627
yihV-csqR,2,Weak,-0.2646569644760099,-0.38516416583305324,-0.12050720135704335,42,57627
lsrRK,2,Weak,0.23380416991745304,0.0915354228077935,-0.14226874710965953,42,57627
